time_fs,S0,S1,S2
6.869619199999999637e+01,0.000000000000000000e+00,7.261345514484430774e-01,2.738656514842727763e-01
6.917996800000000235e+01,0.000000000000000000e+00,7.121652777936039458e-01,2.878349675868930313e-01
6.966374399999999412e+01,0.000000000000000000e+00,7.051569995272973790e-01,2.948431866722623362e-01
7.014752000000000010e+01,0.000000000000000000e+00,7.012743330759775295e-01,2.987258758163770511e-01
7.063129600000000607e+01,0.000000000000000000e+00,6.996839593749322184e-01,3.003162576811050366e-01
7.111507199999999784e+01,0.000000000000000000e+00,6.985384071004338002e-01,3.014617807596246535e-01
7.159884800000000382e+01,0.000000000000000000e+00,6.961907905774777916e-01,3.038093732532316515e-01
7.208262399999999559e+01,0.000000000000000000e+00,6.970068621250198326e-01,3.029933123826600294e-01
7.256640000000000157e+01,0.000000000000000000e+00,6.996689875526445057e-01,3.003310648396913529e-01
7.305017599999999334e+01,0.000000000000000000e+00,7.041601446301730682e-01,2.958399962659404303e-01
7.353395199999999932e+01,0.000000000000000000e+00,7.144715161081218735e-01,2.855287055626742898e-01
7.401772800000000530e+01,0.000000000000000000e+00,7.249341035163355818e-01,2.750661554520915653e-01
7.450150399999999706e+01,0.000000000000000000e+00,7.352864016972695538e-01,2.647138983251158817e-01
7.498528000000000304e+01,0.000000000000000000e+00,7.405365995193902151e-01,2.594637058163137278e-01
7.546905599999999481e+01,0.000000000000000000e+00,7.495100560314227334e-01,2.504902852664225299e-01
7.595283200000000079e+01,0.000000000000000000e+00,7.540981649279021592e-01,2.459022262564368178e-01
7.643660799999999256e+01,0.000000000000000000e+00,7.560853082598044672e-01,2.439151420153617689e-01
7.692038399999999854e+01,0.000000000000000000e+00,7.570475274997972015e-01,2.429529453924043625e-01
7.740416000000000452e+01,0.000000000000000000e+00,7.592194592053080893e-01,2.407810227710168727e-01
7.788793599999999628e+01,0.000000000000000000e+00,7.599826271583984827e-01,2.400177952390323277e-01
7.837171200000000226e+01,0.000000000000000000e+00,7.621306459787995369e-01,2.378697025200641746e-01
7.885548799999999403e+01,0.000000000000000000e+00,7.652826473152796183e-01,2.347176791905888071e-01
7.933926400000000001e+01,0.000000000000000000e+00,7.686503772165454995e-01,2.313499159521257287e-01
7.982304000000000599e+01,0.000000000000000000e+00,7.722565376938002046e-01,2.277437644407782069e-01
8.030681599999999776e+01,0.000000000000000000e+00,7.724736869173794984e-01,2.275265768265010147e-01
8.079059200000000374e+01,0.000000000000000000e+00,7.731475691890646873e-01,2.268526225337629265e-01
8.127436799999999550e+01,0.000000000000000000e+00,7.748145374578835343e-01,2.251856585755651896e-01
8.175814400000000148e+01,0.000000000000000000e+00,7.750192763044954081e-01,2.249809495801952108e-01
8.224191999999999325e+01,0.000000000000000000e+00,7.740768006910981880e-01,2.259233440426136608e-01
8.272569599999999923e+01,0.000000000000000000e+00,7.714928682290840278e-01,2.285073141829179200e-01
8.320947200000000521e+01,0.000000000000000000e+00,7.706807114506492029e-01,2.293194438201915930e-01
8.369324799999999698e+01,0.000000000000000000e+00,7.720425154626414654e-01,2.279576377498583883e-01
8.417702400000000296e+01,0.000000000000000000e+00,7.710318076575342072e-01,2.289683232184514250e-01
8.466079999999999472e+01,0.000000000000000000e+00,7.714719737169961622e-01,2.285281024360468483e-01
8.514457600000000070e+01,0.000000000000000000e+00,7.718036944389197185e-01,2.281963203161708476e-01
8.562835200000000668e+01,0.000000000000000000e+00,7.715180380349567768e-01,2.284820017573822859e-01
8.611212799999999845e+01,0.000000000000000000e+00,7.686045379473122052e-01,2.313954963354668271e-01
8.659590400000000443e+01,0.000000000000000000e+00,7.671737653730029693e-01,2.328262456585248608e-01
8.707967999999999620e+01,0.000000000000000000e+00,7.611486040358799166e-01,2.388513757742819210e-01
8.756345600000000218e+01,0.000000000000000000e+00,7.544561839856109842e-01,2.455437908320954876e-01
8.804723199999999395e+01,0.000000000000000000e+00,7.509736405418829808e-01,2.490263415508687239e-01
8.853100799999999992e+01,0.000000000000000000e+00,7.499301489348022542e-01,2.500697964355715897e-01
8.901478400000000590e+01,0.000000000000000000e+00,7.521919310254499003e-01,2.478080480227817795e-01
8.949855999999999767e+01,0.000000000000000000e+00,7.539189935024921407e-01,2.460809126627280241e-01
8.998233600000000365e+01,0.000000000000000000e+00,7.524015655506050004e-01,2.475983129252725679e-01
9.046611199999999542e+01,0.000000000000000000e+00,7.488528299744331429e-01,2.511471418568756442e-01
9.094988800000000140e+01,0.000000000000000000e+00,7.467987230967324530e-01,2.532012033649160831e-01
9.143366399999999317e+01,0.000000000000000000e+00,7.474560283265210270e-01,2.525438404540619741e-01
9.191743999999999915e+01,0.000000000000000000e+00,7.492888817284659719e-01,2.507109341722711382e-01
9.240121600000000512e+01,0.000000000000000000e+00,7.515330062823749602e-01,2.484667689502630117e-01
9.288499199999999689e+01,0.000000000000000000e+00,7.555327651906290631e-01,2.444670467319066676e-01
9.336876800000000287e+01,0.000000000000000000e+00,7.618419184991820359e-01,2.381579338225583431e-01
9.385254399999999464e+01,0.000000000000000000e+00,7.636589238895156173e-01,2.363409255541155662e-01
9.433632000000000062e+01,0.000000000000000000e+00,7.661444318604673231e-01,2.338554069033166039e-01
9.482009600000000660e+01,0.000000000000000000e+00,7.675229695403790187e-01,2.324768797326056402e-01
9.530387199999999837e+01,0.000000000000000000e+00,7.643301333372422013e-01,2.356696714169112250e-01
9.578764800000000434e+01,0.000000000000000000e+00,7.655826439111803605e-01,2.344171739274594213e-01
9.627142399999999611e+01,0.000000000000000000e+00,7.652743915671965658e-01,2.347253943176963176e-01
9.675520000000000209e+01,0.000000000000000000e+00,7.619236238492608226e-01,2.380762119567937929e-01
9.723897599999999386e+01,0.000000000000000000e+00,7.650771612160520707e-01,2.349226928712889739e-01
9.772275199999999984e+01,0.000000000000000000e+00,7.678245891149266811e-01,2.321752803584739011e-01
9.820652800000000582e+01,0.000000000000000000e+00,7.689734102440713981e-01,2.310265084657263379e-01
9.869030399999999759e+01,0.000000000000000000e+00,7.690976026230200713e-01,2.309023809984115938e-01
9.917408000000000357e+01,0.000000000000000000e+00,7.679711491697188697e-01,2.320288257832572310e-01
9.965785599999999533e+01,0.000000000000000000e+00,7.664985063883690275e-01,2.335014261314652118e-01
1.001416320000000013e+02,0.000000000000000000e+00,7.665746504217539892e-01,2.334252791966514862e-01
1.006254079999999931e+02,0.000000000000000000e+00,7.706666083768833886e-01,2.293332787398981443e-01
1.011091839999999991e+02,0.000000000000000000e+00,7.707350888427815239e-01,2.292647833808612867e-01
1.015929600000000050e+02,0.000000000000000000e+00,7.735241678871885851e-01,2.264758087937433217e-01
1.020767359999999968e+02,0.000000000000000000e+00,7.763752004372344029e-01,2.236247745574740375e-01
1.025605120000000028e+02,0.000000000000000000e+00,7.804856983949232108e-01,2.195143386844323752e-01
1.030442879999999946e+02,0.000000000000000000e+00,7.833741634645121632e-01,2.166258533245427054e-01
1.035280640000000005e+02,0.000000000000000000e+00,7.825661029555471826e-01,2.174339450779775029e-01
1.040118400000000065e+02,0.000000000000000000e+00,7.802545641812583810e-01,2.197454322870032173e-01
1.044956159999999983e+02,0.000000000000000000e+00,7.771119906649894826e-01,2.228880216740256048e-01
1.049793920000000043e+02,0.000000000000000000e+00,7.781217884703016674e-01,2.218782466541556753e-01
1.054631679999999960e+02,0.000000000000000000e+00,7.796650442506747325e-01,2.203349872242723606e-01
1.059469440000000020e+02,0.000000000000000000e+00,7.836621360936187886e-01,2.163378685276823310e-01
1.064307199999999938e+02,0.000000000000000000e+00,7.843908974661352174e-01,2.156091391668156498e-01
1.069144959999999998e+02,0.000000000000000000e+00,7.860101256325690011e-01,2.139899507965204450e-01
1.073982720000000057e+02,0.000000000000000000e+00,7.839804040147571040e-01,2.160197539413991341e-01
1.078820479999999975e+02,0.000000000000000000e+00,7.838289348139442225e-01,2.161711844634628121e-01
1.083658240000000035e+02,0.000000000000000000e+00,7.817585635293338164e-01,2.182415880822440035e-01
1.088495999999999952e+02,0.000000000000000000e+00,7.779000873000838645e-01,2.221001068555451263e-01
1.093333760000000012e+02,0.000000000000000000e+00,7.790307255851965929e-01,2.209694861009659783e-01
1.098171519999999930e+02,0.000000000000000000e+00,7.777816056398715316e-01,2.222186443448391502e-01
1.103009279999999990e+02,0.000000000000000000e+00,7.799917121245538709e-01,2.200085156733679048e-01
1.107847040000000050e+02,0.000000000000000000e+00,7.801090657007778706e-01,2.198912266979657082e-01
1.112684799999999967e+02,0.000000000000000000e+00,7.799086433321452683e-01,2.200917092865032898e-01
1.117522560000000027e+02,0.000000000000000000e+00,7.823662406794675839e-01,2.176340778237968177e-01
1.122360319999999945e+02,0.000000000000000000e+00,7.865767444967446398e-01,2.134235174446038608e-01
1.127198080000000004e+02,0.000000000000000000e+00,7.941175442983859911e-01,2.058827688921532895e-01
1.132035840000000064e+02,0.000000000000000000e+00,7.975114919478265563e-01,2.024888547616844059e-01
1.136873599999999982e+02,0.000000000000000000e+00,7.952947562609049559e-01,2.047055560727445433e-01
1.141711360000000042e+02,0.000000000000000000e+00,7.931443652881022821e-01,2.068559290770209114e-01
1.146549119999999959e+02,0.000000000000000000e+00,7.916197953203500948e-01,2.083805637603996785e-01
1.151386880000000019e+02,0.000000000000000000e+00,7.888214188670699123e-01,2.111789572948196969e-01
1.156224639999999937e+02,0.000000000000000000e+00,7.863210912083954396e-01,2.136793155073234141e-01
1.161062399999999997e+02,0.000000000000000000e+00,7.810735835674632588e-01,2.189268098970539589e-01
1.165900160000000056e+02,0.000000000000000000e+00,7.785011687090976906e-01,2.214992055259093207e-01
1.170737919999999974e+02,0.000000000000000000e+00,7.806771112155136416e-01,2.193232517816391669e-01
1.175575680000000034e+02,0.000000000000000000e+00,7.834942845856713856e-01,2.165061178213587845e-01
1.180413439999999952e+02,0.000000000000000000e+00,7.843873100938361098e-01,2.156130979171233808e-01
1.185251200000000011e+02,0.000000000000000000e+00,7.825641465358045279e-01,2.174362476021088342e-01
1.190088959999999929e+02,0.000000000000000000e+00,7.793711991016666341e-01,2.206292343087045971e-01
1.194926719999999989e+02,0.000000000000000000e+00,7.755784463721296929e-01,2.244219656237348148e-01
1.199764480000000049e+02,0.000000000000000000e+00,7.745221419892112102e-01,2.254782879273456719e-01
1.204602239999999966e+02,0.000000000000000000e+00,7.735576388518444757e-01,2.264428056116069010e-01
1.209440000000000026e+02,0.000000000000000000e+00,7.734186257184555435e-01,2.265818294421607926e-01
1.214277759999999944e+02,0.000000000000000000e+00,7.733645488965754655e-01,2.266358557223212278e-01
1.219115520000000004e+02,0.000000000000000000e+00,7.727206225017443364e-01,2.272797954233485573e-01
1.223953280000000063e+02,0.000000000000000000e+00,7.716047632955459479e-01,2.283957733549608904e-01
